time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
74396,769,692,554,214,25,34
74528,768,693,555,213,25,34
74659,768,692,555,214,25,34
74789,768,692,554,213,25,34
74916,769,693,555,213,25,34
75048,768,692,555,213,25,34
75179,769,693,555,213,25,34
75310,769,692,554,213,25,34
75445,769,693,554,214,25,34
75576,768,693,554,213,25,34
75707,767,692,555,213,25,34
75838,768,693,554,213,25,34
75965,768,693,555,213,25,34
76096,769,692,554,214,25,34
76227,769,692,554,214,25,34
76358,769,692,555,213,25,34
76489,768,693,555,214,25,34
76624,768,693,554,213,25,34
76755,769,692,554,213,25,34
76886,769,692,554,213,25,34
77017,768,692,554,213,25,34
77145,768,693,555,213,25,34
77276,768,693,554,213,25,34
77407,768,693,554,213,25,34
77538,768,692,554,214,25,34
77669,768,692,554,213,25,34
77804,768,692,555,213,25,34
77935,768,692,555,213,25,34
78066,768,692,555,213,25,34
78193,767,692,555,213,25,34
78324,769,692,554,213,25,34
78455,769,692,554,213,25,34
78586,768,692,554,213,25,34
78717,768,692,554,213,25,34
78848,769,692,554,213,25,34
78983,769,692,554,212,25,34
79115,769,692,554,213,25,34
79242,768,692,554,214,25,34
79373,767,692,554,213,25,34
79504,768,692,554,212,25,34
79635,768,692,555,213,25,34
79766,769,692,555,213,25,34
79897,769,692,554,213,25,34
80028,768,691,555,213,25,34
80163,769,692,555,213,25,34
80294,768,692,555,213,25,34
80421,768,692,554,213,25,34
80552,768,692,554,213,25,34
80683,768,692,554,213,25,34
80814,768,692,554,213,25,34
80945,769,692,554,213,25,34
81077,769,693,555,213,25,34
81208,768,692,555,213,25,34
81343,768,692,554,213,25,34
81470,768,693,554,213,25,34
81601,768,692,554,213,25,34
81732,768,692,554,213,25,34
81863,769,692,554,212,25,34
81994,768,692,554,213,25,34
82125,769,692,555,213,25,34
82256,768,692,554,213,25,34
82388,768,692,555,213,25,34
82518,768,692,555,213,25,34
82649,769,692,554,213,25,34
82780,768,691,554,213,25,34
82911,768,692,554,213,25,34
83043,768,691,554,213,25,34
83174,768,691,554,213,25,34
83305,768,692,554,213,25,34
83436,769,692,554,213,25,34
83567,769,692,555,212,25,34
83698,768,692,554,213,25,34
83829,769,692,554,213,25,34
83960,768,692,554,212,25,34
84091,768,692,555,213,25,34
84222,768,692,554,213,25,34
84353,768,692,554,213,25,34
84484,769,692,554,213,25,34
84616,768,692,554,213,25,34
84747,768,692,554,212,25,34
84878,768,692,554,212,25,34
85009,768,692,554,213,25,34
85140,769,692,554,213,25,34
85271,769,692,554,213,25,34
85402,768,692,554,213,25,34
85533,769,692,554,213,25,34
85664,769,692,554,213,25,34
85795,769,692,554,213,25,34
85926,768,692,554,213,25,34
86057,769,692,554,213,25,34
86188,768,692,554,213,25,34
86319,768,692,554,213,25,34
86450,768,692,554,213,25,34
86581,768,692,554,213,25,34
86712,768,691,554,213,25,34
86843,767,692,554,212,25,34
86974,768,692,554,213,25,34
87101,768,692,554,212,25,34
87237,768,692,554,213,25,34
87368,768,692,554,213,25,34
87499,769,692,554,213,25,34
87630,768,692,554,213,25,34
87761,768,692,554,213,25,34
87892,768,692,555,212,25,34
88023,768,691,554,212,25,34
88154,769,691,554,213,25,34
88281,769,692,554,213,25,34
88416,768,691,554,213,25,34
88547,769,691,554,213,25,34
88678,768,692,554,213,25,34
88809,768,692,554,213,25,34
88941,768,692,554,212,25,34
89072,767,692,553,213,25,34
89203,768,692,554,213,25,34
89330,768,692,554,212,25,34
89461,768,692,554,212,25,34
89596,768,692,554,213,25,34
89727,768,692,554,213,25,34
89858,768,692,553,213,25,34
