time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
79059,84,50,198,217,22,52,beer,1pilsner,roomjose
79286,84,50,198,213,22,52,beer,1pilsner,roomjose
79519,84,51,198,211,22,52,beer,1pilsner,roomjose
79748,84,51,198,210,22,52,beer,1pilsner,roomjose
79978,83,51,198,211,22,52,beer,1pilsner,roomjose
80211,84,50,198,214,22,52,beer,1pilsner,roomjose
80445,84,51,199,218,22,52,beer,1pilsner,roomjose
80674,84,50,199,220,22,52,beer,1pilsner,roomjose
80905,84,50,198,219,22,52,beer,1pilsner,roomjose
81137,84,50,199,217,22,52,beer,1pilsner,roomjose
81374,84,50,199,215,22,52,beer,1pilsner,roomjose
81600,84,50,197,211,22,52,beer,1pilsner,roomjose
81833,84,50,198,206,22,52,beer,1pilsner,roomjose
82062,83,50,197,202,22,52,beer,1pilsner,roomjose
82292,83,50,197,195,22,52,beer,1pilsner,roomjose
82526,83,50,196,192,22,53,beer,1pilsner,roomjose
82759,83,50,197,186,22,53,beer,1pilsner,roomjose
82988,82,50,197,182,22,53,beer,1pilsner,roomjose
83218,83,50,196,179,22,53,beer,1pilsner,roomjose
83451,82,49,196,175,22,53,beer,1pilsner,roomjose
83684,83,50,196,171,22,54,beer,1pilsner,roomjose
83914,82,49,195,168,22,54,beer,1pilsner,roomjose
84144,82,49,195,167,22,54,beer,1pilsner,roomjose
84376,82,49,195,166,22,54,beer,1pilsner,roomjose
84607,82,50,195,167,22,54,beer,1pilsner,roomjose
84840,81,50,194,166,22,54,beer,1pilsner,roomjose
85069,82,49,195,166,22,54,beer,1pilsner,roomjose
85302,81,50,194,165,22,54,beer,1pilsner,roomjose
85534,81,49,194,164,22,54,beer,1pilsner,roomjose
85761,81,49,193,163,22,54,beer,1pilsner,roomjose
85998,81,49,194,164,22,54,beer,1pilsner,roomjose
86228,80,49,194,164,22,54,beer,1pilsner,roomjose
86457,80,49,194,165,22,54,beer,1pilsner,roomjose
86691,80,49,194,167,22,54,beer,1pilsner,roomjose
86920,81,50,194,170,22,54,beer,1pilsner,roomjose
87154,81,49,194,171,22,53,beer,1pilsner,roomjose
87383,81,50,193,171,22,53,beer,1pilsner,roomjose
87616,80,49,194,169,22,53,beer,1pilsner,roomjose
87846,81,49,193,167,22,53,beer,1pilsner,roomjose
88080,80,49,193,166,22,53,beer,1pilsner,roomjose
88315,79,49,193,164,22,53,beer,1pilsner,roomjose
88542,80,49,193,165,22,53,beer,1pilsner,roomjose
88771,79,49,193,165,22,53,beer,1pilsner,roomjose
89001,80,49,193,167,22,53,beer,1pilsner,roomjose
89234,80,49,193,168,22,53,beer,1pilsner,roomjose
89468,80,49,193,170,22,53,beer,1pilsner,roomjose
89697,79,49,193,170,22,53,beer,1pilsner,roomjose
89929,80,49,194,171,22,53,beer,1pilsner,roomjose
90160,79,49,194,171,22,53,beer,1pilsner,roomjose
90389,80,49,193,171,22,53,beer,1pilsner,roomjose
90623,80,49,193,174,22,53,beer,1pilsner,roomjose
90856,80,48,194,177,22,53,beer,1pilsner,roomjose
91085,80,49,194,179,22,53,beer,1pilsner,roomjose
91315,79,49,194,182,22,53,beer,1pilsner,roomjose
91548,80,49,195,185,22,53,beer,1pilsner,roomjose
91782,79,49,195,190,22,53,beer,1pilsner,roomjose
92011,80,49,195,192,22,53,beer,1pilsner,roomjose
92241,80,49,195,194,22,53,beer,1pilsner,roomjose
92474,80,49,195,195,22,53,beer,1pilsner,roomjose
92703,81,49,196,196,22,53,beer,1pilsner,roomjose
92937,81,49,194,195,22,53,beer,1pilsner,roomjose
93166,81,50,194,193,22,53,beer,1pilsner,roomjose
93401,80,49,194,191,22,53,beer,1pilsner,roomjose
93629,80,50,194,190,22,53,beer,1pilsner,roomjose
93858,80,49,194,187,22,53,beer,1pilsner,roomjose
94096,80,49,194,184,22,53,beer,1pilsner,roomjose
94325,79,49,194,184,22,53,beer,1pilsner,roomjose
94555,80,49,193,185,22,53,beer,1pilsner,roomjose
94784,80,49,193,186,22,53,beer,1pilsner,roomjose
95017,79,49,194,187,22,53,beer,1pilsner,roomjose
95251,80,49,192,186,22,54,beer,1pilsner,roomjose
95480,79,49,192,187,22,54,beer,1pilsner,roomjose
95714,79,49,193,187,22,54,beer,1pilsner,roomjose
95943,79,48,192,187,22,54,beer,1pilsner,roomjose
96173,79,49,193,186,22,54,beer,1pilsner,roomjose
96406,78,49,193,186,22,54,beer,1pilsner,roomjose
96639,79,49,194,186,22,54,beer,1pilsner,roomjose
96869,78,49,193,186,22,54,beer,1pilsner,roomjose
97100,79,49,193,186,22,54,beer,1pilsner,roomjose
97331,79,49,193,188,22,54,beer,1pilsner,roomjose
97565,79,49,193,190,22,54,beer,1pilsner,roomjose
97795,79,49,194,192,22,54,beer,1pilsner,roomjose
98024,79,49,193,193,22,54,beer,1pilsner,roomjose
98257,79,48,193,194,22,54,beer,1pilsner,roomjose
98489,79,48,193,194,22,54,beer,1pilsner,roomjose
98720,79,49,194,193,22,54,beer,1pilsner,roomjose
98953,78,48,194,192,22,54,beer,1pilsner,roomjose
99183,79,49,193,191,22,54,beer,1pilsner,roomjose
99412,79,49,193,189,22,54,beer,1pilsner,roomjose
99645,78,49,192,188,22,54,beer,1pilsner,roomjose
99879,78,48,193,189,22,54,beer,1pilsner,roomjose
100108,79,49,193,188,22,54,beer,1pilsner,roomjose
100338,79,49,192,188,22,54,beer,1pilsner,roomjose
100571,78,48,193,190,22,54,beer,1pilsner,roomjose
100800,79,49,193,192,22,54,beer,1pilsner,roomjose
101034,79,49,192,191,22,54,beer,1pilsner,roomjose
101264,79,49,193,195,22,54,beer,1pilsner,roomjose
101497,79,49,193,195,22,54,beer,1pilsner,roomjose
101726,79,49,193,197,22,54,beer,1pilsner,roomjose
101956,79,49,193,197,22,54,beer,1pilsner,roomjose
102193,79,49,193,198,22,55,beer,1pilsner,roomjose
102425,78,49,193,198,22,55,beer,1pilsner,roomjose
102652,79,48,193,197,22,55,beer,1pilsner,roomjose
102885,78,48,193,195,22,55,beer,1pilsner,roomjose
103115,79,49,192,194,22,55,beer,1pilsner,roomjose
103348,78,48,192,192,22,56,beer,1pilsner,roomjose
103578,78,48,192,189,22,56,beer,1pilsner,roomjose
103811,77,49,192,187,22,56,beer,1pilsner,roomjose
104040,78,48,192,186,22,56,beer,1pilsner,roomjose
104270,78,48,191,183,22,56,beer,1pilsner,roomjose
104508,77,48,191,183,22,56,beer,1pilsner,roomjose
104736,78,48,190,182,22,56,beer,1pilsner,roomjose
104966,78,48,190,179,22,56,beer,1pilsner,roomjose
105195,77,48,190,180,22,56,beer,1pilsner,roomjose
105429,77,48,190,180,22,56,beer,1pilsner,roomjose
105662,77,48,190,179,22,56,beer,1pilsner,roomjose
105895,77,49,190,179,22,56,beer,1pilsner,roomjose
106125,77,48,190,180,22,56,beer,1pilsner,roomjose
106354,76,48,190,182,22,56,beer,1pilsner,roomjose
106584,77,48,191,182,22,56,beer,1pilsner,roomjose
